WinISI II Calibration Export - synthetic
Number of samples: 50
Number of wavelengths: 200
Wavelength range (nm): 1100-2500

Wavelengths:
1100.0 1107.0 1114.1 1121.1 1128.1 1135.2 1142.2 1149.2 1156.3 1163.3 1170.4 1177.4 1184.4 1191.5 1198.5 1205.5 1212.6 1219.6 1226.6 1233.7 1240.7 1247.7 1254.8 1261.8 1268.8 1275.9 1282.9 1289.9 1297.0 1304.0 1311.1 1318.1 1325.1 1332.2 1339.2 1346.2 1353.3 1360.3 1367.3 1374.4 1381.4 1388.4 1395.5 1402.5 1409.5 1416.6 1423.6 1430.7 1437.7 1444.7 1451.8 1458.8 1465.8 1472.9 1479.9 1486.9 1494.0 1501.0 1508.0 1515.1 1522.1 1529.1 1536.2 1543.2 1550.3 1557.3 1564.3 1571.4 1578.4 1585.4 1592.5 1599.5 1606.5 1613.6 1620.6 1627.6 1634.7 1641.7 1648.7 1655.8 1662.8 1669.8 1676.9 1683.9 1691.0 1698.0 1705.0 1712.1 1719.1 1726.1 1733.2 1740.2 1747.2 1754.3 1761.3 1768.3 1775.4 1782.4 1789.4 1796.5 1803.5 1810.6 1817.6 1824.6 1831.7 1838.7 1845.7 1852.8 1859.8 1866.8 1873.9 1880.9 1887.9 1895.0 1902.0 1909.0 1916.1 1923.1 1930.2 1937.2 1944.2 1951.3 1958.3 1965.3 1972.4 1979.4 1986.4 1993.5 2000.5 2007.5 2014.6 2021.6 2028.6 2035.7 2042.7 2049.7 2056.8 2063.8 2070.9 2077.9 2084.9 2092.0 2099.0 2106.0 2113.1 2120.1 2127.1 2134.2 2141.2 2148.2 2155.3 2162.3 2169.3 2176.4 2183.4 2190.5 2197.5 2204.5 2211.6 2218.6 2225.6 2232.7 2239.7 2246.7 2253.8 2260.8 2267.8 2274.9 2281.9 2288.9 2296.0 2303.0 2310.1 2317.1 2324.1 2331.2 2338.2 2345.2 2352.3 2359.3 2366.3 2373.4 2380.4 2387.4 2394.5 2401.5 2408.5 2415.6 2422.6 2429.6 2436.7 2443.7 2450.8 2457.8 2464.8 2471.9 2478.9 2485.9 2493.0 2500.0

Sample_ID Protein P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50 P51 P52 P53 P54 P55 P56 P57 P58 P59 P60 P61 P62 P63 P64 P65 P66 P67 P68 P69 P70 P71 P72 P73 P74 P75 P76 P77 P78 P79 P80 P81 P82 P83 P84 P85 P86 P87 P88 P89 P90 P91 P92 P93 P94 P95 P96 P97 P98 P99 P100 P101 P102 P103 P104 P105 P106 P107 P108 P109 P110 P111 P112 P113 P114 P115 P116 P117 P118 P119 P120 P121 P122 P123 P124 P125 P126 P127 P128 P129 P130 P131 P132 P133 P134 P135 P136 P137 P138 P139 P140 P141 P142 P143 P144 P145 P146 P147 P148 P149 P150 P151 P152 P153 P154 P155 P156 P157 P158 P159 P160 P161 P162 P163 P164 P165 P166 P167 P168 P169 P170 P171 P172 P173 P174 P175 P176 P177 P178 P179 P180 P181 P182 P183 P184 P185 P186 P187 P188 P189 P190 P191 P192 P193 P194 P195 P196 P197 P198 P199 P200
S010 12.432 -0.07238 0.02610 0.00440 -0.01810 -0.15644 0.03801 0.05133 -0.10439 0.12034 0.15018 -0.10541 -0.10763 -0.08311 -0.07905 0.01833 0.06551 -0.02035 -0.17751 0.04583 -0.17609 -0.00629 0.06117 0.19769 -0.08828 -0.24233 0.05294 0.26687 0.27225 0.14436 0.09521 0.21693 -0.03149 0.15780 0.25886 0.31589 0.53471 0.38740 0.27826 0.38235 0.17905 0.27037 0.36457 0.34265 0.55355 0.44048 0.64135 0.58185 0.43134 0.53925 0.49789 0.63111 0.44349 0.50573 0.50817 0.44474 0.38159 0.45999 0.54370 0.36660 0.36794 0.44350 0.37864 0.36981 0.21010 0.27031 0.26653 -0.03987 0.14483 0.31945 0.26325 0.18803 0.24687 0.07634 0.12733 0.00791 0.04501 0.06913 0.11941 0.06948 -0.01536 0.04676 0.07738 -0.06548 -0.22341 -0.02136 -0.03716 0.05987 0.01882 0.12158 0.24041 0.07211 0.15372 0.16355 0.04522 0.25779 0.17250 0.21989 0.16450 0.03439 0.30088 0.35893 0.32255 0.25882 0.54271 0.36219 0.66517 0.38732 0.53473 0.41408 0.63538 0.62224 0.57308 0.71041 0.54690 0.79460 0.71684 0.69122 0.66694 0.48802 0.78458 1.02107 0.84516 0.83197 0.75129 0.69724 0.76175 0.56830 0.78179 0.83792 0.70233 0.52418 0.52583 0.48965 0.52909 0.31885 0.32002 0.32287 0.53131 0.20274 0.16562 0.28043 0.17804 0.26083 0.31526 0.17175 0.28219 -0.09394 -0.00531 0.12320 -0.00909 0.09078 0.29861 0.13083 0.14674 -0.05121 0.06881 0.06055 0.13292 0.33609 0.36221 0.07957 0.33995 0.44994 0.51098 0.58810 0.34042 0.41387 0.25966 0.34848 0.48037 0.40944 0.45011 0.39656 0.32778 0.19604 0.46598 0.06527 0.21263 0.38502 0.11707 0.12718 0.06345 0.01016 0.24774 -0.25712 0.17168 -0.07791 -0.05169 -0.01992 0.09101 -0.19960 0.04466 0.19590 -0.16311 0.13453 -0.10407 0.09300 -0.01763 -0.11843 0.05396
S011 11.758 0.21292 0.02698 0.15016 0.01803 -0.08298 0.01428 0.17133 0.02263 0.01552 -0.06420 -0.00563 0.10461 0.00585 -0.07824 -0.00299 0.08962 -0.10179 0.03614 0.12172 -0.01757 0.03443 -0.07395 0.02194 0.01742 -0.06058 0.20566 0.14841 -0.03796 -0.21559 0.19424 0.02289 0.13500 -0.05448 0.29241 0.04023 0.28015 0.23132 0.08395 0.32549 0.33239 0.35440 0.43097 0.54674 0.25053 0.56927 0.35119 0.31890 0.27256 0.40188 0.47516 0.49263 0.67768 0.34425 0.49352 0.27641 0.40833 0.43599 0.35672 0.09622 0.33875 0.40774 0.33615 0.33325 0.08691 0.30727 0.35451 0.01206 0.26965 0.15615 0.12225 0.08634 -0.03395 -0.01829 0.09967 0.03266 -0.04475 0.16360 -0.09436 0.12734 0.11493 -0.24501 -0.06178 0.19468 -0.05445 -0.07316 -0.03799 0.10261 0.02017 -0.04757 0.21442 0.27412 0.21749 -0.01071 -0.03415 0.02935 0.22513 0.22862 0.34550 0.24839 0.05788 0.31657 0.21068 0.21286 0.39073 0.55963 0.68517 0.43107 0.34372 0.47696 0.55343 0.35481 0.69773 0.61836 0.64635 0.62683 0.64392 0.66718 0.56564 0.64696 0.56699 0.69826 0.67811 0.70167 0.69209 0.58357 0.67794 0.49242 0.53986 0.60795 0.57572 0.47369 0.39593 0.23051 0.36526 0.46876 0.31059 0.39081 0.33581 0.26403 0.29582 0.25593 0.22255 0.20762 0.10290 -0.08975 0.16576 0.03731 0.00941 0.22147 0.15400 0.25075 0.09858 0.10994 -0.06412 0.29855 0.11745 0.01162 0.12329 0.01678 0.25737 0.09663 0.13713 0.00082 0.41014 0.29782 0.44919 0.25638 0.09570 0.32873 0.44263 0.33902 0.29944 0.39223 0.31592 0.32861 0.36671 0.21100 0.01250 0.03750 0.05126 -0.07644 0.01041 0.06624 0.00051 -0.00636 -0.05283 -0.02181 -0.09697 0.16264 0.18451 -0.26247 -0.07488 -0.18744 -0.07677 0.00751 -0.15537 -0.08053 -0.06667 0.03550 -0.02538
S012 12.284 -0.10360 -0.05425 -0.09728 0.07105 0.12791 0.07461 -0.11363 0.07792 0.07201 -0.04349 0.11055 0.12894 -0.13127 -0.11394 0.14940 0.01686 -0.02784 0.04027 -0.02671 -0.00934 0.07426 0.13120 0.01776 0.01553 -0.12558 0.12361 0.19515 0.10592 0.27398 0.01753 0.19310 0.04596 0.17661 0.23582 0.22063 0.17809 0.27629 0.28478 0.26449 0.18173 0.50683 0.59691 0.25032 0.51978 0.44463 0.59419 0.54578 0.55341 0.49600 0.48170 0.39954 0.38757 0.53380 0.42523 0.62314 0.67664 0.40205 0.41149 0.49505 0.38843 0.33336 0.36002 0.34702 0.21185 0.33594 0.28913 0.04464 0.20496 0.18097 0.11660 0.20320 0.37583 -0.00305 -0.06985 0.11549 0.22970 0.06657 0.18073 -0.09777 0.07647 -0.07583 0.17668 0.19441 -0.00762 -0.06829 0.19795 0.05061 0.05591 0.07106 -0.14081 0.10314 0.09001 0.03527 0.20426 0.06458 0.27283 0.11332 0.15619 0.28215 0.27064 0.34196 0.41409 0.29554 0.29359 0.30491 0.38323 0.76905 0.70466 0.44423 0.37285 0.68837 0.72666 0.70039 0.59016 0.69873 0.76073 0.69503 0.45877 0.73302 0.66697 0.76005 1.05360 0.73300 0.68686 0.84394 0.73779 0.64440 0.69935 0.78842 0.50852 0.64190 0.37209 0.60933 0.33597 0.48709 0.38646 0.42163 0.38978 0.21748 0.28135 0.19176 0.19598 0.15983 0.16573 0.48622 0.21038 -0.08137 0.09099 0.15419 0.38014 -0.10499 0.05240 0.35326 0.09688 0.02125 0.21216 -0.08476 0.18528 0.28561 0.30743 0.13492 0.28069 0.27445 0.40064 0.31107 0.40899 0.22529 0.51775 0.53528 0.49139 0.34362 0.32677 0.33908 0.35167 0.64216 0.17590 0.38852 0.29846 0.15770 0.29870 0.09986 0.11312 -0.06392 0.18724 0.13535 -0.05657 -0.10489 -0.08091 0.02394 -0.00653 0.11967 -0.09195 -0.00180 0.07594 0.13711 -0.18169 -0.03319 0.00329 0.04755 -0.05921
S013 12.643 -0.19941 0.11447 -0.04799 -0.03823 -0.00239 -0.04104 -0.14990 -0.15081 0.15833 0.06007 0.14183 -0.09301 -0.00989 0.08305 0.13104 0.10455 -0.04304 0.04771 0.03687 0.15702 0.04327 0.08474 0.01803 0.14383 0.09013 -0.05086 0.22751 0.06296 0.03826 0.06261 0.13574 0.17883 0.10300 0.23468 0.41297 0.36878 0.33556 0.39731 0.24291 0.39912 0.59583 0.30807 0.30622 0.47492 0.25162 0.41816 0.54204 0.38850 0.52440 0.64506 0.44100 0.69972 0.55582 0.68607 0.51788 0.57281 0.29403 0.51136 0.43044 0.47545 0.19825 0.20908 0.39310 0.23114 0.26625 0.02073 0.44765 0.09068 0.19460 0.23859 0.03850 0.19977 0.11801 0.02237 -0.04529 -0.21607 0.17742 -0.16344 -0.02229 -0.00333 0.05232 -0.00018 0.03544 0.15958 0.11475 0.06198 0.10148 -0.07332 0.05677 0.16934 -0.08288 0.18292 0.09642 0.11482 0.15105 0.28815 0.42047 0.13816 0.23253 0.48286 0.40152 0.42793 0.58028 0.49707 0.55138 0.52525 0.51515 0.50687 0.45099 0.85463 0.47735 0.81035 0.63482 0.53533 0.77368 0.48215 0.83957 0.83356 0.76442 0.84952 0.93477 0.71778 0.65990 0.92423 0.92710 0.72181 0.77973 0.80681 0.63134 0.59625 0.74077 0.75613 0.56801 0.41477 0.59844 0.43165 0.21639 0.38737 0.53936 0.31468 0.33089 0.25516 0.20391 0.29803 -0.06930 0.02325 0.11298 0.05672 0.17204 0.16861 0.35509 0.23274 0.17202 0.08456 0.05229 0.04501 0.04727 0.16848 0.15822 0.23418 0.30798 0.21582 0.36785 0.20841 0.40352 0.47887 0.40762 0.49678 0.46138 0.39961 0.40705 0.35820 0.37785 0.14897 0.25405 0.25975 0.14159 0.22698 0.22028 0.13693 0.19624 0.04410 -0.08901 -0.03639 -0.00855 -0.08562 -0.03789 -0.17348 0.00888 -0.01043 0.05468 0.01494 -0.01519 -0.14585 -0.05341 -0.11453 0.07721 -0.16058 -0.07807 -0.02822
S014 12.185 0.03250 0.26026 0.14291 -0.09847 0.08131 -0.23594 -0.08643 -0.13890 0.15156 0.03363 -0.04972 -0.08514 0.11738 -0.12012 0.22260 0.09706 0.05459 -0.02555 0.13110 -0.20555 0.01444 0.03141 0.01000 -0.09581 0.04804 0.22303 0.20356 0.00208 0.18199 0.05977 -0.05269 0.03431 0.23444 0.06876 0.04869 0.21764 0.46263 0.46051 0.51836 0.18414 0.31023 0.21348 0.53459 0.27412 0.46207 0.33028 0.40127 0.34999 0.46216 0.40300 0.35802 0.52139 0.34230 0.53207 0.56684 0.37041 0.27808 0.40757 0.45397 0.35892 0.34041 0.36790 0.07695 0.22311 0.25665 0.10412 0.12187 0.06593 0.19500 0.20323 0.12315 0.27366 -0.14935 0.02174 0.05520 -0.05809 -0.09551 -0.08603 0.00400 0.03089 -0.22147 -0.31253 -0.00878 0.07582 -0.17207 0.00851 -0.08112 0.07956 -0.01429 0.07647 0.14125 -0.12162 0.23871 0.07528 0.23533 0.58268 -0.13605 0.43262 0.19212 0.28806 0.21673 0.31179 0.20107 0.41958 0.26259 0.42819 0.48801 0.35741 0.47436 0.56301 0.59179 0.53835 0.56436 0.63263 0.66215 0.86418 0.68618 0.66509 0.73237 0.85286 0.55191 0.82148 0.56784 0.61244 0.67017 0.60371 0.60426 0.61540 0.70747 0.67456 0.58383 0.44719 0.42159 0.55981 0.52302 0.45740 0.30529 0.24504 0.05720 0.21672 0.28950 0.20479 0.29498 0.05589 0.14259 -0.05284 0.10551 -0.16899 0.06601 -0.10384 0.26885 0.04325 0.19004 0.21076 -0.00472 0.25469 0.29304 0.05785 0.28127 0.11004 0.06073 0.14746 0.22442 0.16352 0.42069 0.31687 0.44325 0.30988 0.25712 0.35614 0.11186 0.43541 0.15119 0.42508 0.26434 0.29193 0.30442 0.06667 0.18152 0.17980 0.10390 0.31159 0.13106 0.12012 -0.09730 -0.07779 -0.02753 0.03566 -0.08094 0.21689 0.16279 0.12383 0.11183 0.02219 -0.00164 -0.02348 0.06101 -0.05717 -0.01135 -0.03978
S015 12.191 -0.10385 -0.13475 -0.10835 0.26526 0.11563 -0.11175 0.04659 -0.17628 0.12289 0.03260 0.00355 0.24226 -0.17183 -0.13831 -0.07386 0.05373 -0.15419 -0.25536 -0.00994 0.17512 0.15768 0.02928 -0.01533 0.22708 -0.03301 0.02909 0.01933 0.07724 0.03409 0.10992 -0.11608 0.07072 0.17645 0.01936 0.19536 0.32805 0.22956 0.27957 0.21442 0.24356 0.34171 0.30711 0.28555 0.37200 0.52091 0.17639 0.49446 0.49285 0.45686 0.56853 0.32738 0.31165 0.46644 0.37788 0.66369 0.27778 0.32954 0.38322 0.23282 0.20533 0.33188 0.16653 0.25622 0.06510 -0.04211 0.25337 0.30793 0.09304 0.20892 0.19230 0.00870 0.24095 0.22178 0.19063 0.06319 0.22102 0.03143 0.11172 0.06824 -0.05035 0.10007 0.03903 -0.15187 -0.20579 0.06666 0.04300 -0.03035 0.21709 -0.14080 0.13917 -0.08617 0.16061 0.07991 0.17672 0.01855 0.22731 0.29442 0.23001 0.18805 0.33348 0.16750 0.35410 0.42756 0.44671 0.28869 0.45167 0.23861 0.45739 0.53337 0.29920 0.33587 0.55677 0.42547 0.47752 0.55147 0.70940 0.50481 0.59219 0.71671 0.76588 0.57928 0.58539 0.61255 0.52279 0.60588 0.56130 0.33552 0.82035 0.47427 0.50894 0.43046 0.46532 0.27744 0.59755 0.35933 0.48266 0.37866 0.19718 0.32258 0.15644 0.28711 -0.00927 0.14385 0.21857 0.14107 0.23036 0.08281 0.02708 0.03494 -0.04630 0.13505 -0.05176 -0.26571 -0.03243 0.05017 -0.03418 0.02867 0.17228 0.29530 0.28349 0.11509 0.28539 0.25396 0.15353 0.35210 0.15839 0.31434 0.43274 0.39129 0.30977 0.24909 0.30459 0.13635 0.37259 0.16197 0.19566 0.02719 0.03169 0.27496 0.22402 0.22248 0.10594 -0.01101 0.17355 -0.04651 0.08594 -0.13600 0.12961 0.01511 0.19545 -0.01934 0.14965 0.29471 -0.01790 -0.26126 -0.14172 0.10668 -0.17544 -0.12370 0.00491
S016 13.580 -0.03979 -0.05815 0.02216 0.08810 0.03619 -0.07592 -0.01227 0.00499 0.06413 0.05079 0.07406 -0.13740 0.15786 0.14335 0.16992 0.20182 -0.13552 -0.01749 -0.03267 0.08103 -0.10459 0.10473 0.22057 0.15753 0.05519 -0.01319 -0.03747 0.19481 0.13521 0.08243 0.13687 -0.06846 0.04881 0.28920 0.04973 0.22430 0.30204 0.14453 0.29268 0.42033 0.35648 0.61409 0.21295 0.53254 0.48567 0.55216 0.48860 0.43636 0.60660 0.36321 0.59184 0.56732 0.63035 0.64368 0.53536 0.52154 0.29141 0.26522 0.51416 0.50937 0.28501 0.35516 0.09886 0.34656 0.27261 0.31794 0.16915 0.05460 0.13385 0.23169 0.11570 -0.05259 0.19934 0.15239 0.08122 0.20397 0.15175 0.00741 0.00394 0.04500 0.01219 0.03382 -0.15578 0.19697 -0.23690 0.25617 0.01754 0.05549 -0.04090 0.00645 0.25040 -0.03293 0.28850 0.22326 0.01298 0.02442 0.31082 0.08507 0.00938 0.32959 0.28402 0.20289 0.36199 0.27840 0.50189 0.49966 0.40772 0.48993 0.63930 0.56345 0.49458 0.68472 0.86294 0.52975 0.59456 0.67722 0.60528 0.64733 0.80599 0.87536 0.68362 0.56774 0.54150 0.76284 0.76293 0.58813 0.62411 0.54519 0.46742 0.61409 0.63684 0.35475 0.63434 0.52472 0.53504 0.22804 0.28940 0.34110 0.39158 0.51389 0.34411 0.24500 0.01843 0.31206 0.05383 0.38861 0.14427 0.24044 0.18835 0.08796 0.05832 -0.00011 0.14657 0.08662 0.05367 0.05903 0.10762 -0.00374 0.16899 0.05747 0.11737 0.06012 0.07579 0.19941 0.21052 0.52378 0.44504 0.44463 0.40787 0.43262 0.40519 0.29402 0.47623 0.53652 0.00356 0.08414 0.18540 0.09249 0.14712 0.05495 0.27625 0.17583 0.12626 0.18828 0.09011 -0.08819 -0.08736 0.01670 0.06018 0.07052 -0.13735 -0.05808 -0.06954 0.05152 0.05668 -0.09664 0.09742 0.12738 0.29084 -0.04357
S017 11.562 0.05231 0.07401 0.17896 0.05746 0.07883 -0.29861 0.07574 -0.02754 0.01955 0.21266 -0.12242 -0.03449 0.15905 -0.07249 -0.09379 -0.00785 0.12874 0.02736 -0.13695 -0.02796 -0.00681 -0.03917 0.08537 0.14442 -0.10392 0.16398 0.12322 0.24005 0.17590 0.11949 0.09828 0.33492 0.14976 0.20774 0.43354 0.29102 0.35613 0.19405 0.31928 0.37176 0.49112 0.39077 0.44424 0.68873 0.61199 0.42316 0.55552 0.45710 0.49734 0.57962 0.52518 0.45125 0.57419 0.51812 0.18047 0.79485 0.61735 0.42911 0.47258 0.31446 0.59727 0.57497 0.37885 0.46656 0.32857 0.09657 0.11384 0.28239 0.10502 0.09543 0.02565 0.11325 0.10197 -0.10559 0.01608 -0.09749 0.28072 -0.19638 0.13206 0.13068 0.06821 -0.24428 -0.03623 0.06787 -0.12701 0.02827 0.29746 0.15844 0.01278 -0.03166 0.15023 0.15111 0.19980 0.13786 0.17287 0.42000 0.24241 0.21326 0.09099 0.27652 0.40820 0.34675 0.41073 0.48176 0.35049 0.40433 0.66212 0.59122 0.68257 0.58102 0.75318 0.63732 0.81023 0.54349 0.71597 0.79209 0.74747 0.87412 0.94453 0.60451 0.77324 0.54487 0.67379 0.92214 0.74806 0.59650 0.68437 0.81148 0.48330 0.49166 0.77313 0.72453 0.54712 0.38643 0.77587 0.63224 0.38955 0.23560 0.34541 0.25374 0.17110 0.47079 0.35573 0.12555 0.29202 0.21710 0.17986 0.28772 -0.03921 0.18031 -0.03022 0.00323 0.13596 0.33133 -0.06103 0.16299 0.28188 0.20229 0.14780 0.10962 0.38674 0.30160 0.17340 0.54127 0.54410 0.50208 0.45767 0.50766 0.49533 0.51138 0.36310 0.51675 0.54740 0.38190 0.20829 0.24492 0.06237 0.09505 0.15504 0.04312 0.34778 0.25189 0.22477 -0.00639 0.00951 -0.03462 -0.03028 -0.16942 0.09457 -0.12356 0.16845 0.06137 0.12032 -0.12832 0.09957 0.04075 -0.01327 0.10617 0.01900 -0.04269
S018 13.518 -0.15802 -0.13708 0.26931 -0.02351 0.07948 -0.18108 -0.14357 0.13914 -0.11545 0.04701 0.07172 0.00119 0.00787 0.02660 0.17580 0.13587 -0.08364 -0.01005 0.20243 0.13208 -0.04212 -0.05293 -0.14788 0.01211 0.31825 0.03195 -0.02218 0.22454 0.01963 0.04034 0.30007 0.07058 0.12181 0.29613 0.22677 0.25857 0.29070 0.31953 0.21242 0.40183 0.28103 0.41765 0.35433 0.51272 0.42885 0.42693 0.49240 0.57418 0.69842 0.44923 0.65859 0.55236 0.51958 0.43905 0.54306 0.55658 0.40658 0.24396 0.38760 0.52611 0.26935 0.21343 0.35914 0.35689 0.28674 0.10710 0.20511 0.25839 0.10135 0.10866 0.25282 0.15223 -0.04941 0.03989 0.09969 0.09882 0.05135 -0.05287 0.21439 -0.00935 -0.10342 0.10757 0.01535 0.19522 0.12733 -0.02169 0.31265 0.10278 0.20740 0.05867 0.21695 0.11947 0.28872 0.27895 0.27214 0.19390 0.12897 0.15343 0.32773 0.19211 0.36117 0.40293 0.23390 0.26636 0.27806 0.50820 0.53250 0.67071 0.56809 0.56674 0.42929 0.49360 0.67168 0.41254 0.87305 0.61434 1.07847 0.95436 0.81241 0.74521 0.82000 0.89236 0.56502 0.47999 0.60084 0.65293 0.66710 0.75232 0.51051 0.25779 0.63862 0.47511 0.28898 0.45046 0.49484 0.36548 0.29612 0.33618 0.39236 0.11377 0.17143 0.28285 0.20722 0.25897 -0.05114 0.10384 -0.04454 0.12135 0.20844 -0.02772 0.07838 0.13235 0.17498 0.07254 0.01425 -0.04258 0.21958 0.23144 0.21729 0.12491 0.40062 0.25548 0.26950 0.42574 0.35584 0.35230 0.39520 0.60099 0.58782 0.36479 0.51720 0.31778 0.26079 0.19331 0.11370 0.25828 0.05380 0.06621 -0.04439 0.19535 0.07829 0.07910 0.05461 -0.00988 0.13484 -0.04833 0.05864 -0.14374 0.05029 0.14885 0.06290 0.01210 -0.03343 0.05844 0.04633 -0.03582 -0.02371 0.04533 -0.02324 -0.09648
S019 11.621 -0.13162 -0.15908 -0.03256 -0.00241 -0.09062 0.12472 0.01109 -0.13963 0.02045 0.07152 -0.02420 0.00951 -0.09146 0.02495 -0.17280 -0.19593 -0.02734 -0.00317 0.03307 -0.03010 -0.06861 0.05028 0.05135 0.12138 0.00238 0.17240 -0.03522 0.14119 0.14157 0.13996 0.14888 0.04841 0.23861 -0.00755 -0.04617 0.14865 0.34807 0.24414 0.10028 0.20292 0.27769 0.35087 0.51153 0.15999 0.58604 0.44794 0.49156 0.35267 0.44978 0.33829 0.37712 0.47728 0.57899 0.33489 0.42754 0.31132 0.23511 0.36043 0.25913 0.28139 0.24206 0.14761 0.16837 0.09437 0.15475 0.08283 0.15522 0.36970 0.09178 0.27529 0.03264 -0.00410 -0.03870 -0.11098 -0.17110 0.08852 0.16977 0.15698 -0.07953 0.02317 0.05479 0.12747 -0.05008 -0.08941 -0.07437 -0.01518 -0.11234 0.02875 0.07802 0.05835 0.10411 0.12676 0.02575 -0.10199 0.03231 0.20052 0.35681 0.25914 0.26949 0.21030 0.03645 0.22409 0.41121 0.23591 0.66408 0.36676 0.65948 0.30362 0.46819 0.40926 0.43643 0.62427 0.60349 0.47793 0.34470 0.61201 0.66018 0.65663 0.66706 0.62024 0.81430 0.63106 0.57262 0.41937 0.60091 0.56616 0.59312 0.52310 0.37600 0.53841 0.53528 0.55675 0.51258 0.44451 0.40905 0.38865 0.41685 0.16101 0.28932 0.12950 0.27110 0.31156 0.13404 -0.11762 0.10170 0.26902 0.11578 0.07366 -0.00482 -0.10605 0.15674 -0.08053 0.27741 0.16580 0.04803 0.01594 0.11144 0.11107 0.25194 0.18420 0.24138 0.46000 0.38702 0.33618 0.24233 0.29622 0.33099 0.25421 0.52460 0.56856 0.22955 0.15066 0.30856 0.27004 0.31765 0.24798 0.20665 0.28670 0.16333 -0.05175 0.17023 0.27632 0.27013 0.00311 0.03245 -0.22868 0.10508 0.02825 0.25418 -0.04842 -0.11201 -0.13132 -0.22262 0.03018 -0.14490 -0.01611 -0.16538 -0.00516 0.12126 0.00674
S020 11.567 -0.02162 -0.04184 0.00812 0.00825 -0.15222 0.05718 -0.30925 -0.11055 -0.03388 0.02197 -0.03708 -0.18589 -0.10022 0.06995 0.07125 -0.08918 0.06599 0.02786 0.01329 -0.03103 0.19096 -0.15765 -0.16049 0.14108 0.00695 -0.02880 -0.06701 0.00071 0.24043 0.17123 0.15745 0.00965 0.15670 -0.12781 0.10300 0.35500 0.28205 0.29747 0.27645 0.36592 0.40923 0.44465 0.23433 0.45416 0.63404 0.38678 0.54483 0.77447 0.51902 0.56116 0.38806 0.53146 0.56721 0.50317 0.43274 0.54894 0.60367 0.49431 0.40061 0.34075 0.48277 0.33583 0.16860 0.41816 0.23685 0.17890 0.26980 0.08906 -0.00920 0.21134 0.15709 0.00092 -0.19925 0.07481 0.04238 0.14272 -0.03126 -0.20509 -0.13751 -0.01238 0.14014 -0.06857 0.30823 -0.16823 0.17802 -0.04602 0.15116 -0.03256 0.21599 0.07517 0.04759 0.19387 0.11440 0.18461 0.29805 0.02587 0.13384 0.17546 0.22108 0.24715 0.18418 0.24488 0.42426 0.37814 0.35498 0.59362 0.48840 0.65853 0.51547 0.58559 0.77660 0.52855 0.84070 0.50830 0.95885 0.71588 0.76800 0.52232 0.75496 0.63127 0.69524 0.81445 0.78235 0.75839 0.76552 0.61153 0.56379 0.93531 0.48727 0.83655 0.60528 0.63370 0.53475 0.55904 0.50677 0.27866 0.29393 0.35842 0.41789 0.37047 0.31566 0.37055 0.26654 0.24495 0.03982 -0.12100 0.07550 0.06478 0.12787 0.13296 0.07098 0.25905 0.04333 0.01014 0.21117 0.07519 0.19497 0.10296 0.05206 0.23491 0.18522 0.34084 0.36045 0.15313 0.27767 0.47615 0.34888 0.43484 0.52234 0.43842 0.31307 0.36341 0.34648 0.21035 0.27545 0.28577 0.25573 0.28585 0.37249 0.13397 0.17075 0.05178 -0.08439 0.06926 0.07359 0.04667 0.23214 -0.03011 -0.00677 -0.01153 -0.01975 0.04366 0.15724 -0.20558 -0.22076 -0.06287 0.15959 -0.15318 -0.32396 0.04811
